doc_id,fund_code,fund_name,period,period_end,schema_version,public_holding_rank,stock_code,stock_name,shares,fair_value_cny,nav_ratio_pct,source_page,announcement_url,file_url,source_pdf_sha256
SYN001_2025Q4,SYN001,稳健成长合成基金,2025Q4,2025-12-31,synthetic_v1,6,S00007,合成股票07,1060000,13000000,3.23,2,https://example.invalid/synthetic/SYN001_2025Q4,,7f2646fd79f678b1a00af912134c13975826df87ad3c8c1417731a7488992d4e
SYN001_2025Q4,SYN001,稳健成长合成基金,2025Q4,2025-12-31,synthetic_v1,7,S00008,合成股票08,1070000,13500000,2.93,2,https://example.invalid/synthetic/SYN001_2025Q4,,7f2646fd79f678b1a00af912134c13975826df87ad3c8c1417731a7488992d4e
SYN001_2025Q4,SYN001,稳健成长合成基金,2025Q4,2025-12-31,synthetic_v1,8,S00009,合成股票09,1080000,14000000,2.63,2,https://example.invalid/synthetic/SYN001_2025Q4,,7f2646fd79f678b1a00af912134c13975826df87ad3c8c1417731a7488992d4e
SYN001_2025Q4,SYN001,稳健成长合成基金,2025Q4,2025-12-31,synthetic_v1,9,S00010,合成股票10,1090000,14500000,2.33,2,https://example.invalid/synthetic/SYN001_2025Q4,,7f2646fd79f678b1a00af912134c13975826df87ad3c8c1417731a7488992d4e
SYN001_2025Q4,SYN001,稳健成长合成基金,2025Q4,2025-12-31,synthetic_v1,10,S00011,合成股票11,1100000,15000000,2.03,2,https://example.invalid/synthetic/SYN001_2025Q4,,7f2646fd79f678b1a00af912134c13975826df87ad3c8c1417731a7488992d4e
SYN001_2026Q1,SYN001,稳健成长合成基金,2026Q1,2026-03-31,synthetic_v1,1,S00003,合成股票03,1010000,10500000,5.26,2,https://example.invalid/synthetic/SYN001_2026Q1,,7d644bbff9c37e3a9841b5b8fbe2f46a4ca9d3bfda529915edff53cc80b47f15
SYN001_2026Q1,SYN001,稳健成长合成基金,2026Q1,2026-03-31,synthetic_v1,2,S00004,合成股票04,1020000,11000000,4.66,2,https://example.invalid/synthetic/SYN001_2026Q1,,7d644bbff9c37e3a9841b5b8fbe2f46a4ca9d3bfda529915edff53cc80b47f15
SYN001_2026Q1,SYN001,稳健成长合成基金,2026Q1,2026-03-31,synthetic_v1,3,S00005,合成股票05,1030000,11500000,4.16,2,https://example.invalid/synthetic/SYN001_2026Q1,,7d644bbff9c37e3a9841b5b8fbe2f46a4ca9d3bfda529915edff53cc80b47f15
SYN001_2026Q1,SYN001,稳健成长合成基金,2026Q1,2026-03-31,synthetic_v1,4,S00006,合成股票06,1040000,12000000,3.86,2,https://example.invalid/synthetic/SYN001_2026Q1,,7d644bbff9c37e3a9841b5b8fbe2f46a4ca9d3bfda529915edff53cc80b47f15
SYN001_2026Q1,SYN001,稳健成长合成基金,2026Q1,2026-03-31,synthetic_v1,5,S00007,合成股票07,1050000,12500000,3.56,2,https://example.invalid/synthetic/SYN001_2026Q1,,7d644bbff9c37e3a9841b5b8fbe2f46a4ca9d3bfda529915edff53cc80b47f15
SYN001_2026Q1,SYN001,稳健成长合成基金,2026Q1,2026-03-31,synthetic_v1,6,S00008,合成股票08,1060000,13000000,3.26,2,https://example.invalid/synthetic/SYN001_2026Q1,,7d644bbff9c37e3a9841b5b8fbe2f46a4ca9d3bfda529915edff53cc80b47f15
SYN001_2026Q1,SYN001,稳健成长合成基金,2026Q1,2026-03-31,synthetic_v1,7,S00009,合成股票09,1070000,13500000,2.96,2,https://example.invalid/synthetic/SYN001_2026Q1,,7d644bbff9c37e3a9841b5b8fbe2f46a4ca9d3bfda529915edff53cc80b47f15
SYN001_2026Q1,SYN001,稳健成长合成基金,2026Q1,2026-03-31,synthetic_v1,8,S00010,合成股票10,1080000,14000000,2.66,2,https://example.invalid/synthetic/SYN001_2026Q1,,7d644bbff9c37e3a9841b5b8fbe2f46a4ca9d3bfda529915edff53cc80b47f15
SYN001_2026Q1,SYN001,稳健成长合成基金,2026Q1,2026-03-31,synthetic_v1,9,S00011,合成股票11,1090000,14500000,2.36,2,https://example.invalid/synthetic/SYN001_2026Q1,,7d644bbff9c37e3a9841b5b8fbe2f46a4ca9d3bfda529915edff53cc80b47f15
SYN001_2026Q1,SYN001,稳健成长合成基金,2026Q1,2026-03-31,synthetic_v1,10,S00012,合成股票12,1100000,15000000,2.06,2,https://example.invalid/synthetic/SYN001_2026Q1,,7d644bbff9c37e3a9841b5b8fbe2f46a4ca9d3bfda529915edff53cc80b47f15
SYN001_2026Q2,SYN001,稳健成长合成基金,2026Q2,2026-06-30,synthetic_v1,1,S00004,合成股票04,1010000,10500000,5.29,2,https://example.invalid/synthetic/SYN001_2026Q2,,8c2f39d0301644ce94a653c633d7d569d9102e388b04fbea4f35c94f4900e6ab
SYN001_2026Q2,SYN001,稳健成长合成基金,2026Q2,2026-06-30,synthetic_v1,2,S00005,合成股票05,1020000,11000000,4.69,2,https://example.invalid/synthetic/SYN001_2026Q2,,8c2f39d0301644ce94a653c633d7d569d9102e388b04fbea4f35c94f4900e6ab
SYN001_2026Q2,SYN001,稳健成长合成基金,2026Q2,2026-06-30,synthetic_v1,3,S00006,合成股票06,1030000,11500000,4.19,2,https://example.invalid/synthetic/SYN001_2026Q2,,8c2f39d0301644ce94a653c633d7d569d9102e388b04fbea4f35c94f4900e6ab
SYN001_2026Q2,SYN001,稳健成长合成基金,2026Q2,2026-06-30,synthetic_v1,4,S00007,合成股票07,1040000,12000000,3.89,2,https://example.invalid/synthetic/SYN001_2026Q2,,8c2f39d0301644ce94a653c633d7d569d9102e388b04fbea4f35c94f4900e6ab
SYN001_2026Q2,SYN001,稳健成长合成基金,2026Q2,2026-06-30,synthetic_v1,5,S00008,合成股票08,1050000,12500000,3.59,2,https://example.invalid/synthetic/SYN001_2026Q2,,8c2f39d0301644ce94a653c633d7d569d9102e388b04fbea4f35c94f4900e6ab
SYN001_2026Q2,SYN001,稳健成长合成基金,2026Q2,2026-06-30,synthetic_v1,6,S00009,合成股票09,1060000,13000000,3.29,2,https://example.invalid/synthetic/SYN001_2026Q2,,8c2f39d0301644ce94a653c633d7d569d9102e388b04fbea4f35c94f4900e6ab
SYN001_2026Q2,SYN001,稳健成长合成基金,2026Q2,2026-06-30,synthetic_v1,7,S00010,合成股票10,1070000,13500000,2.99,2,https://example.invalid/synthetic/SYN001_2026Q2,,8c2f39d0301644ce94a653c633d7d569d9102e388b04fbea4f35c94f4900e6ab
SYN001_2026Q2,SYN001,稳健成长合成基金,2026Q2,2026-06-30,synthetic_v1,8,S00011,合成股票11,1080000,14000000,2.69,2,https://example.invalid/synthetic/SYN001_2026Q2,,8c2f39d0301644ce94a653c633d7d569d9102e388b04fbea4f35c94f4900e6ab
SYN001_2026Q2,SYN001,稳健成长合成基金,2026Q2,2026-06-30,synthetic_v1,9,S00012,合成股票12,1090000,14500000,2.39,2,https://example.invalid/synthetic/SYN001_2026Q2,,8c2f39d0301644ce94a653c633d7d569d9102e388b04fbea4f35c94f4900e6ab
SYN001_2026Q2,SYN001,稳健成长合成基金,2026Q2,2026-06-30,synthetic_v1,10,S00013,合成股票13,1100000,15000000,2.09,2,https://example.invalid/synthetic/SYN001_2026Q2,,8c2f39d0301644ce94a653c633d7d569d9102e388b04fbea4f35c94f4900e6ab
SYN002_2025Q3,SYN002,科技创新合成基金,2025Q3,2025-09-30,synthetic_v1,1,S00006,合成股票06,1010000,10500000,5.2,2,https://example.invalid/synthetic/SYN002_2025Q3,,10a81fd16f8823d3a7876652265c7379c8a1bc10b4d2738c42eedcc0fa7d05b1
SYN002_2025Q3,SYN002,科技创新合成基金,2025Q3,2025-09-30,synthetic_v1,2,S00007,合成股票07,1020000,11000000,4.6,2,https://example.invalid/synthetic/SYN002_2025Q3,,10a81fd16f8823d3a7876652265c7379c8a1bc10b4d2738c42eedcc0fa7d05b1
SYN002_2025Q3,SYN002,科技创新合成基金,2025Q3,2025-09-30,synthetic_v1,3,S00008,合成股票08,1030000,11500000,4.1,2,https://example.invalid/synthetic/SYN002_2025Q3,,10a81fd16f8823d3a7876652265c7379c8a1bc10b4d2738c42eedcc0fa7d05b1
SYN002_2025Q3,SYN002,科技创新合成基金,2025Q3,2025-09-30,synthetic_v1,4,S00009,合成股票09,1040000,12000000,3.8,2,https://example.invalid/synthetic/SYN002_2025Q3,,10a81fd16f8823d3a7876652265c7379c8a1bc10b4d2738c42eedcc0fa7d05b1
SYN002_2025Q3,SYN002,科技创新合成基金,2025Q3,2025-09-30,synthetic_v1,5,S00010,合成股票10,1050000,12500000,3.5,2,https://example.invalid/synthetic/SYN002_2025Q3,,10a81fd16f8823d3a7876652265c7379c8a1bc10b4d2738c42eedcc0fa7d05b1
SYN002_2025Q3,SYN002,科技创新合成基金,2025Q3,2025-09-30,synthetic_v1,6,S00011,合成股票11,1060000,13000000,3.2,2,https://example.invalid/synthetic/SYN002_2025Q3,,10a81fd16f8823d3a7876652265c7379c8a1bc10b4d2738c42eedcc0fa7d05b1
SYN002_2025Q3,SYN002,科技创新合成基金,2025Q3,2025-09-30,synthetic_v1,7,S00012,合成股票12,1070000,13500000,2.9,2,https://example.invalid/synthetic/SYN002_2025Q3,,10a81fd16f8823d3a7876652265c7379c8a1bc10b4d2738c42eedcc0fa7d05b1
SYN002_2025Q3,SYN002,科技创新合成基金,2025Q3,2025-09-30,synthetic_v1,8,S00013,合成股票13,1080000,14000000,2.6,2,https://example.invalid/synthetic/SYN002_2025Q3,,10a81fd16f8823d3a7876652265c7379c8a1bc10b4d2738c42eedcc0fa7d05b1
SYN002_2025Q3,SYN002,科技创新合成基金,2025Q3,2025-09-30,synthetic_v1,9,S00014,合成股票14,1090000,14500000,2.3,2,https://example.invalid/synthetic/SYN002_2025Q3,,10a81fd16f8823d3a7876652265c7379c8a1bc10b4d2738c42eedcc0fa7d05b1
SYN002_2025Q3,SYN002,科技创新合成基金,2025Q3,2025-09-30,synthetic_v1,10,S00015,合成股票15,1100000,15000000,2.0,2,https://example.invalid/synthetic/SYN002_2025Q3,,10a81fd16f8823d3a7876652265c7379c8a1bc10b4d2738c42eedcc0fa7d05b1
SYN002_2025Q4,SYN002,科技创新合成基金,2025Q4,2025-12-31,synthetic_v1,1,S00007,合成股票07,1010000,10500000,5.23,2,https://example.invalid/synthetic/SYN002_2025Q4,,b5d80c51e29f655b121efd47fa2645ef14bfc81fb907b9d835e64342993f8b5b
SYN002_2025Q4,SYN002,科技创新合成基金,2025Q4,2025-12-31,synthetic_v1,2,S00008,合成股票08,1020000,11000000,4.63,2,https://example.invalid/synthetic/SYN002_2025Q4,,b5d80c51e29f655b121efd47fa2645ef14bfc81fb907b9d835e64342993f8b5b
SYN002_2025Q4,SYN002,科技创新合成基金,2025Q4,2025-12-31,synthetic_v1,3,S00009,合成股票09,1030000,11500000,4.13,2,https://example.invalid/synthetic/SYN002_2025Q4,,b5d80c51e29f655b121efd47fa2645ef14bfc81fb907b9d835e64342993f8b5b
SYN002_2025Q4,SYN002,科技创新合成基金,2025Q4,2025-12-31,synthetic_v1,4,S00010,合成股票10,1040000,12000000,3.83,2,https://example.invalid/synthetic/SYN002_2025Q4,,b5d80c51e29f655b121efd47fa2645ef14bfc81fb907b9d835e64342993f8b5b
SYN002_2025Q4,SYN002,科技创新合成基金,2025Q4,2025-12-31,synthetic_v1,5,S00011,合成股票11,1050000,12500000,3.53,2,https://example.invalid/synthetic/SYN002_2025Q4,,b5d80c51e29f655b121efd47fa2645ef14bfc81fb907b9d835e64342993f8b5b
SYN002_2025Q4,SYN002,科技创新合成基金,2025Q4,2025-12-31,synthetic_v1,6,S00012,合成股票12,1060000,13000000,3.23,2,https://example.invalid/synthetic/SYN002_2025Q4,,b5d80c51e29f655b121efd47fa2645ef14bfc81fb907b9d835e64342993f8b5b
SYN002_2025Q4,SYN002,科技创新合成基金,2025Q4,2025-12-31,synthetic_v1,7,S00013,合成股票13,1070000,13500000,2.93,2,https://example.invalid/synthetic/SYN002_2025Q4,,b5d80c51e29f655b121efd47fa2645ef14bfc81fb907b9d835e64342993f8b5b
SYN002_2025Q4,SYN002,科技创新合成基金,2025Q4,2025-12-31,synthetic_v1,8,S00014,合成股票14,1080000,14000000,2.63,2,https://example.invalid/synthetic/SYN002_2025Q4,,b5d80c51e29f655b121efd47fa2645ef14bfc81fb907b9d835e64342993f8b5b
SYN002_2025Q4,SYN002,科技创新合成基金,2025Q4,2025-12-31,synthetic_v1,9,S00015,合成股票15,1090000,14500000,2.33,2,https://example.invalid/synthetic/SYN002_2025Q4,,b5d80c51e29f655b121efd47fa2645ef14bfc81fb907b9d835e64342993f8b5b
SYN002_2025Q4,SYN002,科技创新合成基金,2025Q4,2025-12-31,synthetic_v1,10,S00016,合成股票16,1100000,15000000,2.03,2,https://example.invalid/synthetic/SYN002_2025Q4,,b5d80c51e29f655b121efd47fa2645ef14bfc81fb907b9d835e64342993f8b5b
SYN002_2026Q1,SYN002,科技创新合成基金,2026Q1,2026-03-31,synthetic_v1,1,S00008,合成股票08,1010000,10500000,5.26,2,https://example.invalid/synthetic/SYN002_2026Q1,,bfdd6e4c42e7d1713c783ad6b6307d7acac0b244d8cdcf69fad7bbf28bf726dc
SYN002_2026Q1,SYN002,科技创新合成基金,2026Q1,2026-03-31,synthetic_v1,2,S00009,合成股票09,1020000,11000000,4.66,2,https://example.invalid/synthetic/SYN002_2026Q1,,bfdd6e4c42e7d1713c783ad6b6307d7acac0b244d8cdcf69fad7bbf28bf726dc
SYN002_2026Q1,SYN002,科技创新合成基金,2026Q1,2026-03-31,synthetic_v1,3,S00010,合成股票10,1030000,11500000,4.16,2,https://example.invalid/synthetic/SYN002_2026Q1,,bfdd6e4c42e7d1713c783ad6b6307d7acac0b244d8cdcf69fad7bbf28bf726dc
SYN002_2026Q1,SYN002,科技创新合成基金,2026Q1,2026-03-31,synthetic_v1,4,S00011,合成股票11,1040000,12000000,3.86,2,https://example.invalid/synthetic/SYN002_2026Q1,,bfdd6e4c42e7d1713c783ad6b6307d7acac0b244d8cdcf69fad7bbf28bf726dc
SYN002_2026Q1,SYN002,科技创新合成基金,2026Q1,2026-03-31,synthetic_v1,5,S00012,合成股票12,1050000,12500000,3.56,2,https://example.invalid/synthetic/SYN002_2026Q1,,bfdd6e4c42e7d1713c783ad6b6307d7acac0b244d8cdcf69fad7bbf28bf726dc
SYN002_2026Q1,SYN002,科技创新合成基金,2026Q1,2026-03-31,synthetic_v1,6,S00013,合成股票13,1060000,13000000,3.26,2,https://example.invalid/synthetic/SYN002_2026Q1,,bfdd6e4c42e7d1713c783ad6b6307d7acac0b244d8cdcf69fad7bbf28bf726dc
SYN002_2026Q1,SYN002,科技创新合成基金,2026Q1,2026-03-31,synthetic_v1,7,S00014,合成股票14,1070000,13500000,2.96,2,https://example.invalid/synthetic/SYN002_2026Q1,,bfdd6e4c42e7d1713c783ad6b6307d7acac0b244d8cdcf69fad7bbf28bf726dc
SYN002_2026Q1,SYN002,科技创新合成基金,2026Q1,2026-03-31,synthetic_v1,8,S00015,合成股票15,1080000,14000000,2.66,2,https://example.invalid/synthetic/SYN002_2026Q1,,bfdd6e4c42e7d1713c783ad6b6307d7acac0b244d8cdcf69fad7bbf28bf726dc
SYN002_2026Q1,SYN002,科技创新合成基金,2026Q1,2026-03-31,synthetic_v1,9,S00016,合成股票16,1090000,14500000,2.36,2,https://example.invalid/synthetic/SYN002_2026Q1,,bfdd6e4c42e7d1713c783ad6b6307d7acac0b244d8cdcf69fad7bbf28bf726dc
SYN002_2026Q1,SYN002,科技创新合成基金,2026Q1,2026-03-31,synthetic_v1,10,S00017,合成股票17,1100000,15000000,2.06,2,https://example.invalid/synthetic/SYN002_2026Q1,,bfdd6e4c42e7d1713c783ad6b6307d7acac0b244d8cdcf69fad7bbf28bf726dc
SYN002_2026Q2,SYN002,科技创新合成基金,2026Q2,2026-06-30,synthetic_v1,1,S00009,合成股票09,1010000,10500000,5.29,2,https://example.invalid/synthetic/SYN002_2026Q2,,79c1d3752f2fddcf9972611b88b9bd081dbea618c8ebaeafc53078555ebb3e2b
SYN002_2026Q2,SYN002,科技创新合成基金,2026Q2,2026-06-30,synthetic_v1,2,S00010,合成股票10,1020000,11000000,4.69,2,https://example.invalid/synthetic/SYN002_2026Q2,,79c1d3752f2fddcf9972611b88b9bd081dbea618c8ebaeafc53078555ebb3e2b
SYN002_2026Q2,SYN002,科技创新合成基金,2026Q2,2026-06-30,synthetic_v1,3,S00011,合成股票11,1030000,11500000,4.19,2,https://example.invalid/synthetic/SYN002_2026Q2,,79c1d3752f2fddcf9972611b88b9bd081dbea618c8ebaeafc53078555ebb3e2b
SYN002_2026Q2,SYN002,科技创新合成基金,2026Q2,2026-06-30,synthetic_v1,4,S00012,合成股票12,1040000,12000000,3.89,2,https://example.invalid/synthetic/SYN002_2026Q2,,79c1d3752f2fddcf9972611b88b9bd081dbea618c8ebaeafc53078555ebb3e2b
SYN002_2026Q2,SYN002,科技创新合成基金,2026Q2,2026-06-30,synthetic_v1,5,S00013,合成股票13,1050000,12500000,3.59,2,https://example.invalid/synthetic/SYN002_2026Q2,,79c1d3752f2fddcf9972611b88b9bd081dbea618c8ebaeafc53078555ebb3e2b
SYN002_2026Q2,SYN002,科技创新合成基金,2026Q2,2026-06-30,synthetic_v1,6,S00014,合成股票14,1060000,13000000,3.29,2,https://example.invalid/synthetic/SYN002_2026Q2,,79c1d3752f2fddcf9972611b88b9bd081dbea618c8ebaeafc53078555ebb3e2b
SYN002_2026Q2,SYN002,科技创新合成基金,2026Q2,2026-06-30,synthetic_v1,7,S00015,合成股票15,1070000,13500000,2.99,2,https://example.invalid/synthetic/SYN002_2026Q2,,79c1d3752f2fddcf9972611b88b9bd081dbea618c8ebaeafc53078555ebb3e2b
SYN002_2026Q2,SYN002,科技创新合成基金,2026Q2,2026-06-30,synthetic_v1,8,S00016,合成股票16,1080000,14000000,2.69,2,https://example.invalid/synthetic/SYN002_2026Q2,,79c1d3752f2fddcf9972611b88b9bd081dbea618c8ebaeafc53078555ebb3e2b
SYN002_2026Q2,SYN002,科技创新合成基金,2026Q2,2026-06-30,synthetic_v1,9,S00017,合成股票17,1090000,14500000,2.39,2,https://example.invalid/synthetic/SYN002_2026Q2,,79c1d3752f2fddcf9972611b88b9bd081dbea618c8ebaeafc53078555ebb3e2b
SYN002_2026Q2,SYN002,科技创新合成基金,2026Q2,2026-06-30,synthetic_v1,10,S00018,合成股票18,1100000,15000000,2.09,2,https://example.invalid/synthetic/SYN002_2026Q2,,79c1d3752f2fddcf9972611b88b9bd081dbea618c8ebaeafc53078555ebb3e2b
SYN003_2025Q3,SYN003,绿色转型合成基金,2025Q3,2025-09-30,synthetic_v1,1,S00011,合成股票11,1010000,10500000,5.2,2,https://example.invalid/synthetic/SYN003_2025Q3,,8307b7f90dd1665c9467a83456b9c8aa262611431e1bd770419ffd1271efca47
SYN003_2025Q3,SYN003,绿色转型合成基金,2025Q3,2025-09-30,synthetic_v1,2,S00012,合成股票12,1020000,11000000,4.6,2,https://example.invalid/synthetic/SYN003_2025Q3,,8307b7f90dd1665c9467a83456b9c8aa262611431e1bd770419ffd1271efca47
SYN003_2025Q3,SYN003,绿色转型合成基金,2025Q3,2025-09-30,synthetic_v1,3,S00013,合成股票13,1030000,11500000,4.1,2,https://example.invalid/synthetic/SYN003_2025Q3,,8307b7f90dd1665c9467a83456b9c8aa262611431e1bd770419ffd1271efca47
SYN003_2025Q3,SYN003,绿色转型合成基金,2025Q3,2025-09-30,synthetic_v1,4,S00014,合成股票14,1040000,12000000,3.8,2,https://example.invalid/synthetic/SYN003_2025Q3,,8307b7f90dd1665c9467a83456b9c8aa262611431e1bd770419ffd1271efca47
SYN003_2025Q3,SYN003,绿色转型合成基金,2025Q3,2025-09-30,synthetic_v1,5,S00015,合成股票15,1050000,12500000,3.5,2,https://example.invalid/synthetic/SYN003_2025Q3,,8307b7f90dd1665c9467a83456b9c8aa262611431e1bd770419ffd1271efca47
SYN003_2025Q3,SYN003,绿色转型合成基金,2025Q3,2025-09-30,synthetic_v1,6,S00016,合成股票16,1060000,13000000,3.2,2,https://example.invalid/synthetic/SYN003_2025Q3,,8307b7f90dd1665c9467a83456b9c8aa262611431e1bd770419ffd1271efca47
SYN003_2025Q3,SYN003,绿色转型合成基金,2025Q3,2025-09-30,synthetic_v1,7,S00017,合成股票17,1070000,13500000,2.9,2,https://example.invalid/synthetic/SYN003_2025Q3,,8307b7f90dd1665c9467a83456b9c8aa262611431e1bd770419ffd1271efca47
SYN003_2025Q3,SYN003,绿色转型合成基金,2025Q3,2025-09-30,synthetic_v1,8,S00018,合成股票18,1080000,14000000,2.6,2,https://example.invalid/synthetic/SYN003_2025Q3,,8307b7f90dd1665c9467a83456b9c8aa262611431e1bd770419ffd1271efca47
SYN003_2025Q3,SYN003,绿色转型合成基金,2025Q3,2025-09-30,synthetic_v1,9,S00019,合成股票19,1090000,14500000,2.3,2,https://example.invalid/synthetic/SYN003_2025Q3,,8307b7f90dd1665c9467a83456b9c8aa262611431e1bd770419ffd1271efca47
SYN003_2025Q3,SYN003,绿色转型合成基金,2025Q3,2025-09-30,synthetic_v1,10,S00020,合成股票20,1100000,15000000,2.0,2,https://example.invalid/synthetic/SYN003_2025Q3,,8307b7f90dd1665c9467a83456b9c8aa262611431e1bd770419ffd1271efca47
SYN003_2025Q4,SYN003,绿色转型合成基金,2025Q4,2025-12-31,synthetic_v1,1,S00012,合成股票12,1010000,10500000,5.23,2,https://example.invalid/synthetic/SYN003_2025Q4,,7ccbc692afa767d2ef1246e01d0bdfdb26b1eca98f38d0d6bc2192a8b28b04ff
SYN003_2025Q4,SYN003,绿色转型合成基金,2025Q4,2025-12-31,synthetic_v1,2,S00013,合成股票13,1020000,11000000,4.63,2,https://example.invalid/synthetic/SYN003_2025Q4,,7ccbc692afa767d2ef1246e01d0bdfdb26b1eca98f38d0d6bc2192a8b28b04ff
SYN003_2025Q4,SYN003,绿色转型合成基金,2025Q4,2025-12-31,synthetic_v1,3,S00014,合成股票14,1030000,11500000,4.13,2,https://example.invalid/synthetic/SYN003_2025Q4,,7ccbc692afa767d2ef1246e01d0bdfdb26b1eca98f38d0d6bc2192a8b28b04ff
SYN003_2025Q4,SYN003,绿色转型合成基金,2025Q4,2025-12-31,synthetic_v1,4,S00015,合成股票15,1040000,12000000,3.83,2,https://example.invalid/synthetic/SYN003_2025Q4,,7ccbc692afa767d2ef1246e01d0bdfdb26b1eca98f38d0d6bc2192a8b28b04ff
SYN003_2025Q4,SYN003,绿色转型合成基金,2025Q4,2025-12-31,synthetic_v1,5,S00016,合成股票16,1050000,12500000,3.53,2,https://example.invalid/synthetic/SYN003_2025Q4,,7ccbc692afa767d2ef1246e01d0bdfdb26b1eca98f38d0d6bc2192a8b28b04ff
SYN003_2025Q4,SYN003,绿色转型合成基金,2025Q4,2025-12-31,synthetic_v1,6,S00017,合成股票17,1060000,13000000,3.23,2,https://example.invalid/synthetic/SYN003_2025Q4,,7ccbc692afa767d2ef1246e01d0bdfdb26b1eca98f38d0d6bc2192a8b28b04ff
SYN003_2025Q4,SYN003,绿色转型合成基金,2025Q4,2025-12-31,synthetic_v1,7,S00018,合成股票18,1070000,13500000,2.93,2,https://example.invalid/synthetic/SYN003_2025Q4,,7ccbc692afa767d2ef1246e01d0bdfdb26b1eca98f38d0d6bc2192a8b28b04ff
